"","id","qid1","qid2","question1","question2","is_duplicate"
"1",0,1,2,"What is the step by step guide to invest in share market in india?","What is the step by step guide to invest in share market?",0
"2",1,3,4,"What is the story of Kohinoor (Koh-i-Noor) Diamond?","What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?",0
"3",2,5,6,"How can I increase the speed of my internet connection while using a VPN?","How can Internet speed be increased by hacking through DNS?",0
"4",3,7,8,"Why am I mentally very lonely? How can I solve it?","Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0
"5",4,9,10,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?","Which fish would survive in salt water?",0
"6",5,11,12,"Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?","I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",1
"7",6,13,14,"Should I buy tiago?","What keeps childern active and far from phone and video games?",0
"8",7,15,16,"How can I be a good geologist?","What should I do to be a great geologist?",1
"9",8,17,18,"When do you use シ instead of し?","When do you use ""&"" instead of ""and""?",0
"10",9,19,20,"Motorola (company): Can I hack my Charter Motorolla DCX3400?","How do I hack Motorola DCX3400 for free internet?",0
"11",10,21,22,"Method to find separation of slits using fresnel biprism?","What are some of the things technicians can tell about the durability and reliability of Laptops and its components?",0
"12",11,23,24,"How do I read and find my YouTube comments?","How can I see all my Youtube comments?",1
"13",12,25,26,"What can make Physics easy to learn?","How can you make physics easy to learn?",1
"14",13,27,28,"What was your first sexual experience like?","What was your first sexual experience?",1
"15",14,29,30,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?","What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?",0
"16",15,31,32,"What would a Trump presidency mean for current international master’s students on an F1 visa?","How will a Trump presidency affect the students presently in US or planning to study in US?",1
"17",16,33,34,"What does manipulation mean?","What does manipulation means?",1
"18",17,35,36,"Why do girls want to be friends with the guy they reject?","How do guys feel after rejecting a girl?",0
"19",18,37,38,"Why are so many Quora users posting questions that are readily answered on Google?","Why do people ask Quora questions which can be answered easily by Google?",1
"20",19,39,40,"Which is the best digital marketing institution in banglore?","Which is the best digital marketing institute in Pune?",0
"21",20,41,42,"Why do rockets look white?","Why are rockets and boosters painted white?",1
"22",21,43,44,"What's causing someone to be jealous?","What can I do to avoid being jealous of someone?",0
"23",22,45,46,"What are the questions should not ask on Quora?","Which question should I ask on Quora?",0
"24",23,47,48,"How much is 30 kV in HP?","Where can I find a conversion chart for CC to horsepower?",0
"25",24,49,50,"What does it mean that every time I look at the clock the numbers are the same?","How many times a day do a clock’s hands overlap?",0
"26",25,51,52,"What are some tips on making it through the job interview process at Medicines?","What are some tips on making it through the job interview process at Foundation Medicine?",0
"27",26,53,54,"What is web application?","What is the web application framework?",0
"28",27,55,56,"Does society place too much importance on sports?","How do sports contribute to the society?",0
"29",28,57,58,"What is best way to make money online?","What is best way to ask for money online?",0
"30",29,59,60,"How should I prepare for CA final law?","How one should know that he/she completely prepare for CA final exam?",1
"31",30,61,62,"What's one thing you would like to do better?","What's one thing you do despite knowing better?",0
"32",31,63,64,"What are some special cares for someone with a nose that gets stuffy during the night?","How can I keep my nose from getting stuffy at night?",1
"33",32,65,66,"What Game of Thrones villain would be the most likely to give you mercy?","What Game of Thrones villain would you most like to be at the mercy of?",1
"34",33,67,68,"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?","How is the average speed of gas molecules determined?",0
"35",34,69,70,"What is the best travel website in spain?","What is the best travel website?",0
"36",35,71,72,"Why do some people think Obama will try to take their guns away?","Has there been a gun control initiative to take away guns people already own?",0
